| Date | ID | Network | Batch | Mini | Epochs | Learning Rate | Entropy | Init | Activ | Peak Mean | Peak Min | Peak Max | Steps to Peak | Total Time |
|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|:---:|
| 11-26 | `52565` | `[256, 256]` | 2048 | 64 | 10 | 3e-4 | 0.0 | Default | tanh | 634.4 | 538.0 | 686.7 | 4.89M | 2h 19m |
| 11-27 | `35463` | `[256, 256]` | 4096 | 512 | 10 | 3e-4 → 1e-5 | 0.0 | Default | tanh | 1488.0 | 1379.1 | 1607.5 | 232.87M | 37h 45m |
| 12-01 | `66f97` | `[256, 256]` | 2048 | 64 | 10 | 3e-4 → 1e-5 | 0.0 | Default | tanh | 928.2 | 633.6 | 1016.3 | 3.99M | 7h 18m |
| 12-02 | `03fd3` | `[1024, 1024]` | 8192 | 1024 | 10 | 3e-4 → 0.0 | 0.0 | Default | tanh | 916.7 | 784.4 | 1017.6 | 54.03M | 11h 11m |
| 12-03 | `b17fa` | `[1024, 1024]` | 4096 | 1024 | 10 | 3e-4 → 0.0 | 0.001 | Default | tanh | 751.5 | 688.5 | 825.8 | 28.09M | 5h 16m |
| 12-03 | `cb599` | `[1024, 1024, 512]` | 8192 | 1024 | 10 | 3e-4 → 0.0 | 0.001 | Default | tanh | 843.2 | 691.8 | 939.6 | 17.34M | 4h 26m |
| 12-03 | `d9bbc` | `[1024, 1024]` | 8192 | 1024 | 10 | 3e-4 → 0.0 | 0.0 | Default | tanh | 1186.0 | 1052.1 | 1270.5 | 12.87M | 3h 58m |
| 12-03 | `62e4a` | `[1024, 1024]` | 8192 | 1024 | 10 | 3e-4 → 0.0 | 0.0002 | Default | tanh | 858.3 | 785.8 | 952.2 | 5.95M | 2h 55m |
| 12-04 | `9be17` | `[1024, 1024]` | 8192 | 2048 | 10 | 3e-4 → 0.0 | 0.0 | Default | tanh | 879.7 | 672.8 | 971.2 | 5.61M | 0h 39m |
| 12-04 | `59c15` | `[1024, 1024]` | 8192 | 2048 | 10 | 3e-4 → 0.0 | 0.0 | Default | tanh | 810.9 | 758.7 | 887.7 | 7.47M | 7h 14m |
| 12-04 | `b1b5e` | `[1024, 1024]` | 8192 | 1024 | 10 | 3e-4 → 0.0 | 0.0001 | Default | tanh | 653.0 | 541.8 | 731.9 | 3.72M | 0h 50m |
| 12-04 | `60475` | `[1024, 1024, 1024]` | 8192 | 1024 | 10 | 3e-4 → 1e-6 | 0.0001 | Default | tanh | 759.1 | 602.0 | 865.6 | 5.13M | 2h 2m |
| 12-05 | `e449a` | `[1024, 1024, 512]` | 8192 | 1024 | 10 | 3e-4 → 1e-6 | 0.0001 | Default | tanh | 767.1 | 654.9 | 834.6 | 9.98M | 6h 35m |
| 12-05 | `b19cc` | `[1024, 1024]` | 8192 | 256 | 10 | 1e-4 → 0.0 | 0.0001 | Default | tanh | 748.1 | 706.9 | 772.6 | 6.05M | 12h 21m |
| 12-06 | `84fbe` | `[1024, 1024]` | 8192 | 1024 | 10 | 3e-4 → 0.0 | 0.001 | Default | relu | 931.5 | 850.5 | 983.5 | 6.75M | 6h 9m |
| 12-06 | `c3468` | `[1024, 1024]` | 8192 | 1024 | 5 | 3e-4 → 0.0 | 0.003 | Default | relu | 536.2 | -361.0 | 767.5 | 1.63M | 0h 36m |
| 12-06 | `33099` | `[256, 256]` | 8192 | 1024 | 20 | 1e-4 → 0.0 | 0.0004 | Default | relu | 1207.3 | 31.9 | 1317.9 | 4.17M | 0h 38m |
| 12-06 | `a3df4` | `[256, 256]` | 8192 | 1024 | 20 | 1e-4 → 0.0 | 0.0004 | Default | relu | 1057.9 | 397.4 | 1235.4 | 7.50M | 1h 17m |
| 12-06 | `f04ec` | `[256, 256]` | 65536 | 4096 | 32 | 3e-4 | 0.0 | Default | tanh | **2703.1** | **628.2** | **3249.9** | **33.82M** | 3h 27m |
| 12-07 | `0b810` | `[512, 256]` | 65536 | 4096 | 32 | 3e-4 | 0.0 | **Ortho** | tanh | **3073.3** | **2012** | **3365.7** | **38.14M** | 8h 29m |
| 12-07 | `a55e5` | `[512, 256]` | 65536 | 4096 | 32 | 3e-4 | 0.001 | **Ortho** | tanh | 987.8 | 926.9 | 1041.6 | 12.32M | 1h 28m |
