num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/env_to_module_sum_episodes_length_out,env_runners/weights_seq_no,env_runners/num_episodes_lifetime,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_max,env_runners/num_episodes,env_runners/episode_duration_sec_mean,env_runners/env_reset_timer,env_runners/episode_len_min,env_runners/episode_len_mean,env_runners/episode_return_min,env_runners/sample,env_runners/rlmodule_inference_timer,env_runners/episode_return_mean,env_runners/env_to_module_sum_episodes_length_in,env_runners/env_step_timer,env_runners/num_env_steps_sampled,env_runners/episode_return_max,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/num_module_steps_sampled/default_policy,env_runners/num_agent_steps_sampled/default_agent,env_runners/module_episode_return_mean/default_policy,env_runners/agent_episode_return_mean/default_agent,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/num_trainable_parameters,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/weights_seq_no,learners/default_policy/entropy,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/total_loss,learners/default_policy/vf_loss_unclipped,learners/default_policy/mean_kl_loss,learners/default_policy/module_train_batch_size_mean,learners/default_policy/policy_loss,learners/default_policy/vf_explained_var,learners/default_policy/num_module_steps_trained,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/curr_kl_coeff,learners/default_policy/curr_entropy_coeff,learners/default_policy/vf_loss,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch
1,4000.0,False,1,e875d_00000,2025-11-25_09-37-34,1764031054,3.04099440574646,3.04099440574646,9347,DESKTOP-M8HSDGN,172.28.117.198,3.04099440574646,1,3.0369427169998744,1.5819000054762e-05,3.0366790930002026,1.5090918180001154,1.5248646719999215,0.0021679999999832944,901.0427824571377,0.0,4.0,4000.0,1000,4.0,0.7267802837499744,0.0005063705000338814,1000,1000.0,-430.3216286394555,1.4656064055000115,0.00010764639305206743,-379.16853302837933,901.0427824571377,0.0001083192482291738,4000.0,-352.4367188982813,nan,2,0,2,8.940000000000001,29.840000000000003,0.054000000000000006,0.0876953125,0.0002799525396634887,4000.0,0.00010478876654284398,4000.0,4000.0,4000.0,-379.16853302837933,-379.16853302837933,40064,40064,0,1253252,4000,144141,1253252,4004,nan,nan,144141,1.0,1.0,8.445705,40064,0.11880682,1372.1638,0.065384164,128.0,0.0072296243,0.024222732,40064,0.0003,0.30000001192092896,0.0,9.850036,nan,0.07973349300004884,4.3266371017016604e-05,1.3016609974358942e-06,3.837613359828126e-05,0.00011047487582810175,1.9829014413289345e-05,1.144110158919703e-05,2.3919949209305562e-06,4.11174963449916e-05,7.054893932064139e-06,1.2304156609892444e-06,1.4943410422467022e-05,0.028498593999984223,0.001572319999922911,0.021200844000077268,1.6566999875067268e-05,0.0003136889999950654,4.858800002693897e-05,0.027747005999799512,5.6889998631959315e-06
1,8000.0,False,2,e875d_00000,2025-11-25_09-37-37,1764031057,2.8841493129730225,5.925143718719482,9347,DESKTOP-M8HSDGN,172.28.117.198,5.925143718719482,2,3.0353791853198753,1.5805180053121147e-05,3.035115068870202,1.508239400920113,1.524157263329921,0.0021639441699835512,901.0427841030431,1.0,8.0,8000.0,1000,4.0,0.7076072271249529,0.0005063705000338814,1000,1000.0,-430.3216286394555,1.4648325762750107,0.00010737079442333468,-348.7395801554653,901.0427841030431,0.00010788185557885304,4000.0,-264.1025639889963,1342.6595648246814,2,0,2,11.325,30.0,0.0825,0.090240478515625,0.000279530496772226,8000.0,0.00010256943992694166,8000.0,4000.0,4000.0,-348.7395801554653,-348.7395801554653,80128,40064,0,2506504,4000.0,144141,1253252,4004.0,nan,nan,144141,1.0,2.0,8.441057,80128,0.13364722,1051.4973,0.069492675,128.0,0.019149277,-0.0033254623,40064,0.0003,0.45000001788139343,0.0,9.365012,nan,0.07956545125004823,4.438878341884127e-05,1.419558993506188e-06,3.818928533806752e-05,0.00010904684115349005,1.9853564592925696e-05,1.1737824980763754e-05,2.0017618899845286e-06,4.0368557256216625e-05,6.660251565123449e-06,1.2887690642872501e-06,1.473227443408775e-05,0.028356636499984232,0.0015705800799241843,0.021185004380076863,1.6553549876334728e-05,0.000312689879995105,4.8626160028106826e-05,0.02774102608980229,5.677549866049958e-06
1,12000.0,False,3,e875d_00000,2025-11-25_09-37-40,1764031060,2.8730218410491943,8.798165559768677,9347,DESKTOP-M8HSDGN,172.28.117.198,8.798165559768677,3,3.033713823796675,1.5746508252072998e-05,3.033449018981501,1.5075444754809104,1.5231854951666217,0.0021626544982836548,901.0427841030431,2.0,12.0,12000.0,1000,4.0,0.7050453166666557,0.0005063705000338814,1000,1000.0,-502.86600633387303,1.464301662552261,0.00011155788785496601,-349.59672855155037,901.0427841030431,0.00011046251306385564,4000.0,-260.7120007526097,1344.1092928010264,2,0,2,11.325,30.0,0.04,0.083099365234375,0.00029181933561103475,12000.0,0.00010572904813114346,12000.0,4000.0,4000.0,-349.59672855155037,-349.59672855155037,120192,40064,0,3759756,4000.0,144141,1253252,4004.0,433777.01616360206,13867.098255733214,144141,1.0,3.0,8.376406,120192,0.061342627,1324.5449,0.05692305,128.0,-0.0620937,-0.3719623,40064,0.0003,0.675000011920929,0.0,9.782097,13867.015892841246,0.07939772127754921,4.6164557143890654e-05,1.4424578828160282e-06,3.971486300667668e-05,0.0001137336187587123,2.0532272991110558e-05,1.2040623650137439e-05,1.981698408105279e-06,4.0990262109557595e-05,6.882914322753956e-06,1.3345580213771592e-06,1.4737714150287507e-05,0.028217512544983038,0.0015680623891264078,0.021167298946276062,1.6522514378539202e-05,0.00031144652119617145,4.850672842744643e-05,0.027735737778903737,5.657334369561795e-06
1,16000.0,False,4,e875d_00000,2025-11-25_09-37-43,1764031063,2.891791343688965,11.689956903457642,9347,DESKTOP-M8HSDGN,172.28.117.198,11.689956903457642,4,3.032246300618709,1.569472317062241e-05,3.0319812108816855,1.5073937160661008,1.5218649315149564,0.0021656013132998852,901.0427841030431,3.0,16.0,16000.0,1000,4.0,0.7094459669374658,0.0005063705000338814,1000,1000.0,-502.86600633387303,1.4642616119217369,0.0001155215508200877,-340.4396489144234,901.0427841030431,0.0001181064861936531,4000.0,-260.7120007526097,1344.8460047662836,2,0,2,11.350000000000001,30.049999999999997,0.015000000000000001,0.07843017578125,0.00030800022537245936,16000.0,0.00011039360629387104,16000.0,4000.0,4000.0,-340.4396489144234,-340.4396489144234,160256,40064,0,5013008,4000.0,144141,1253252,4004.0,433635.97213628655,13862.588335145505,144141,1.0,4.0,8.437405,160256,0.01984899,833.46173,0.039538052,128.0,-0.100830324,-0.6318996,40064,0.0003,1.0125000476837158,0.0,9.399113,13862.506914159801,0.07923329511477273,4.8805014014966994e-05,1.6719958999635829e-06,4.3134223660694305e-05,0.0001183574710438692,2.1561451968785503e-05,1.3141731571392432e-05,2.021842399004376e-06,4.3661695157235616e-05,7.0849947524475785e-06,1.3130251981270997e-06,1.5773523531605352e-05,0.028072815739533564,0.0015665773252348783,0.021152538606814496,1.649017923455813e-05,0.00031034071598534793,4.83766011412049e-05,0.02773438870111453,5.63707102613489e-06
1,20000.0,False,5,e875d_00000,2025-11-25_09-37-52,1764031072,9.224789142608643,20.914746046066284,9347,DESKTOP-M8HSDGN,172.28.117.198,20.914746046066284,5,3.0305158762125215,1.5662165939935678e-05,3.0302498406828695,1.5068467668454406,1.520682739579807,0.002162675790167849,901.0427841030431,4.0,20.0,20000.0,1000,4.0,0.7083442366499753,0.0005063705000338814,1000,1000.0,-502.86600633387303,1.4638332285325204,0.0001047369722184626,-330.89944282736116,901.0427841030431,0.00010453317776183338,4000.0,-230.78177240107382,1347.2091972068163,2,0,2,10.233333333333333,30.10000000000001,0.0075,0.075103759765625,0.0002832463299176368,20000.0,0.00010543431198640376,20000.0,4000.0,4000.0,-330.89944282736116,-330.89944282736116,200320,40064,0,6266260,4000.0,144141,1253252,4004.0,433666.9244611843,13863.5577631551,144141,1.0,5.0,8.343155,200320,0.047898456,134.06848,0.036493484,128.0,-0.06877712,0.21257418,40064,0.0003,1.5187500715255737,0.0,7.972591,13863.493718514319,0.07908036772362535,4.258442709396677e-05,1.4022745540142263e-06,4.070393585113597e-05,0.00010711091132431278,1.9372953897389378e-05,1.7039476408344222e-05,1.859944599831272e-06,4.101477708839978e-05,6.5796789957008656e-06,1.2131959806410357e-06,1.5123008383062721e-05,0.027932216082137945,0.0015650480319840548,0.021139506580747414,1.6532267440545123e-05,0.00030998122882714324,4.829424512978779e-05,0.027737564434104016,5.627900314662979e-06
1,24000.0,False,6,e875d_00000,2025-11-25_09-37-55,1764031075,3.3607547283172607,24.275500774383545,9347,DESKTOP-M8HSDGN,172.28.117.198,24.275500774383545,6,3.033780891000398,1.5602494280706504e-05,3.0335135048460415,1.5077290191569848,1.523067562764009,0.0021585384422657685,901.0427841030431,5.0,24.0,24000.0,1000,4.0,0.7125461616666465,0.0005063705000338814,1000,1000.0,-502.86600633387303,1.4639978546421957,0.00010094990037124737,-329.13075932881225,901.0427841030431,0.00010159600549800329,4000.0,-230.78177240107382,1301.0870315266657,2,0,2,16.38,30.2,0.08399999999999999,0.0828369140625,0.0002644959801303955,24000.0,9.854339822022547e-05,24000.0,4000.0,4000.0,-329.13075932881225,-329.13075932881225,240384,40064,0,7519512,4000.0,144141,1253252,4004.0,418395.5378464785,13375.359598326777,144141,1.0,6.0,8.461564,240384,0.14028561,253.22127,0.023453312,128.0,0.020133153,-0.59763324,40064,0.0003,2.278125047683716,0.0,8.453274,13375.296996526322,0.08006070527639048,4.137923088097501e-05,1.3899115837061328e-06,3.706038590670163e-05,0.00010232511509538562,1.853468107541889e-05,1.105022875523537e-05,1.8813023728843266e-06,3.838217372886728e-05,6.522712373033404e-06,1.2021912494350402e-06,1.3817457404939921e-05,0.027863902771315528,0.0015636440016646423,0.022094811594940224,1.6558884764470455e-05,0.0003092530365373565,4.8205942677320735e-05,0.027833483289763133,5.627521311523008e-06
1,28000.0,False,7,e875d_00000,2025-11-25_09-37-59,1764031079,3.2142937183380127,27.489794492721558,9347,DESKTOP-M8HSDGN,172.28.117.198,27.489794492721558,7,3.0355337545203933,1.5553709336114374e-05,3.035265830087583,1.507645637635416,1.5249007651863695,0.002160124877843809,901.0427841030431,6.0,28.0,28000.0,1000,4.0,0.714290479714269,0.0005063705000338814,1000,1000.0,-502.86600633387303,1.4640162696057737,0.00011552081359908943,-327.10919538832235,901.0427841030431,0.00011296537202395506,4000.0,-230.78177240107382,1296.8212869194647,2,0,2,17.25,30.2,0.025,0.086029052734375,0.00029910421313224234,28000.0,0.00011058380830639754,28000.0,4000.0,4000.0,-327.10919538832235,-327.10919538832235,280448,40064,0,8772764,4000.0,144141,1253252,4004.0,416830.45316109096,13325.324113938204,144141,1.0,7.0,8.467762,280448,0.10943489,311.81033,0.01700177,128.0,-0.012654785,-0.25571096,40064,0.0003,2.278125047683716,0.0,8.3357525,13325.263369634376,0.08005318062362704,4.609331114085489e-05,1.5175969234686547e-06,4.036818338305542e-05,0.00011705671399710632,2.109978586616796e-05,1.2460708182880901e-05,2.0508247115936366e-06,4.2569390670650254e-05,7.164091714924067e-06,1.5007192920674225e-06,1.5457309095813727e-05,0.02773271964360312,0.0015658968516478531,0.022145493618991346,1.657543591875104e-05,0.000307823826171335,4.821764324933728e-05,0.027905989076864465,5.62949609857335e-06
1,32000.0,False,8,e875d_00000,2025-11-25_09-38-02,1764031082,3.078801393508911,30.56859588623047,9347,DESKTOP-M8HSDGN,172.28.117.198,30.56859588623047,8,3.0359208355351903,1.5533362243245232e-05,3.0356521331367077,1.5077689738590607,1.525162874814506,0.002159469749063742,901.0427841030431,7.0,32.0,32000.0,1000,4.0,0.717131315187487,0.0005063705000338814,1000,1000.0,-521.4951108797287,1.4642389348947162,0.00011525231860656707,-336.61445060729216,901.0427841030431,0.00011166006390567482,4000.0,-230.78177240107382,1293.2253712204792,2,0,2,14.0,30.2,0.049999999999999996,0.08404541015625,0.0002977020944246651,32000.0,0.00010895313660617782,32000.0,4000.0,4000.0,-336.61445060729216,-336.61445060729216,320512,40064,0,10026016,4000.0,144141,1253252,4004.0,416137.2128529791,13303.174227418298,144141,1.0,8.0,8.552404,320512,0.1395641,915.0103,0.016657475,128.0,0.0145372255,-0.7330326,40064,0.0003,2.278125047683716,0.0,8.707905,13303.101183049956,0.07992312599739218,4.610729359715886e-05,1.4687960612128888e-06,4.1718783647741095e-05,0.00011549602852834503,2.1008769044979455e-05,1.2272617594111145e-05,2.049705697501009e-06,4.160917605070384e-05,7.0945532842904935e-06,1.4786107925134547e-06,1.538170582400267e-05,0.02762176904716724,0.0015635952331302162,0.022122755102801414,1.6565161559211906e-05,0.00030671592791128404,4.811672681620192e-05,0.027913856756096263,5.609581137116051e-06
1,36000.0,False,9,e875d_00000,2025-11-25_09-38-05,1764031085,2.8633358478546143,33.43193173408508,9347,DESKTOP-M8HSDGN,172.28.117.198,33.43193173408508,9,3.034150395749839,1.5483598620772476e-05,3.0338808252053395,1.5071118349104706,1.5240503324263597,0.0021570174915740096,901.0427841030431,8.0,36.0,36000.0,1000,4.0,0.7151132466944305,0.0005063705000338814,1000,1000.0,-521.4951108797287,1.4636847011807688,0.00010731970785288271,-340.99190835415015,901.0427841030431,0.00010803536388536707,4000.0,-230.78177240107382,1294.6580981882687,2,0,2,11.3,30.2,0.03,0.078460693359375,0.0002806697830917929,36000.0,0.00010319022104301575,36000.0,4000.0,4000.0,-340.99190835415015,-340.99190835415015,360576,40064,0,11279268,4000.0,144141,1253252,4004.0,417020.7706771995,13331.385690153973,144141,1.0,9.0,8.413934,360576,-0.10727823,307.24112,0.017949421,128.0,-0.2361866,-0.6445911,40064,0.0003,2.278125047683716,0.0,8.801735,13331.34492676054,0.07980786483741724,4.426620279399457e-05,1.3691269301305288e-06,3.850949566324659e-05,0.00010920607449163558,1.9879023584097105e-05,1.1529409309968925e-05,2.0914287544414066e-06,3.988868955924296e-05,6.665454746171125e-06,1.2580660305582249e-06,1.4635929550439837e-05,0.02751182216669581,0.0015611209807977324,0.022129455741773,1.6530789944534345e-05,0.000305884958632702,4.802961954845699e-05,0.027905646918534314,5.591505326119563e-06
1,40000.0,False,10,e875d_00000,2025-11-25_09-38-15,1764031095,9.979094982147217,43.4110267162323,9347,DESKTOP-M8HSDGN,172.28.117.198,43.4110267162323,10,3.0338458387623395,1.5436782633625824e-05,3.0335760192432852,1.5073553496013659,1.523507084852096,0.0021517151966566647,901.0427841030431,9.0,40.0,40000.0,1000,4.0,0.717790008899982,0.0005063705000338814,1000,1000.0,-521.4951108797287,1.4640218244189616,0.00012435596891293275,-337.8403238681061,901.0427841030431,0.00012048491677390356,4000.0,-230.78177240107382,1297.0840654391375,2,0,2,10.014285714285714,30.278571428571436,0.025714285714285717,0.08022635323660714,0.00031844410763717687,40000.0,0.00011670577392553153,40000.0,4000.0,4000.0,-337.8403238681061,-337.8403238681061,400640,40064,0,12532520,4000.0,144141,1253252,4004.0,416824.33572529326,13325.101985712363,144141,1.0,10.0,8.376387,400640,0.04660943,69.872986,0.018488588,128.0,-0.06825743,0.23181033,40064,0.0003,2.278125047683716,0.0,7.274752,13325.066213010152,0.07967192199904363,4.8235522675344915e-05,1.687989508800532e-06,4.3747350160266735e-05,0.00012345684323243202,2.2471246745577213e-05,1.3571561874626229e-05,2.15455250055414e-06,4.444530401722211e-05,7.207072085669639e-06,1.631687468508912e-06,1.670133494233703e-05,0.02739191767503069,0.0015599253609886168,0.022111685574356617,1.65022020453168e-05,0.00030922373904618527,4.796170335291578e-05,0.02790558414935011,5.572660271910986e-06
